epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,324.142,1.21291,1.13796,1.01935,0.94475,0.95283,0.98156,0.62204,1.32206,0.77559,1.14557,0.0008647,0.0008647,0.0008647
43,328.368,1.16338,1.17253,1.04316,0.84908,0.92108,0.96719,0.65138,1.21725,1.10265,1.10318,0.0008614,0.0008614,0.0008614
44,332.774,1.20561,1.17908,1.07232,0.93371,0.9061,0.98833,0.66161,1.21567,0.93309,1.09109,0.0008581,0.0008581,0.0008581
45,337.222,1.1453,1.05594,1.02253,0.96607,0.9352,0.995,0.60383,1.37756,0.79405,1.15193,0.0008548,0.0008548,0.0008548
46,341.71,1.1582,1.09788,1.05864,0.96027,1,0.995,0.63309,1.31676,0.74523,1.12402,0.0008515,0.0008515,0.0008515
47,346.018,1.19025,1.03737,1.06081,0.92904,0.98119,0.995,0.69549,1.15784,0.67591,1.05385,0.0008482,0.0008482,0.0008482
48,350.393,1.15908,0.97761,0.99505,0.94458,0.94722,0.995,0.68931,1.1486,0.66041,1.04882,0.0008449,0.0008449,0.0008449
49,354.832,1.13512,1.0351,1.04661,0.95691,0.95639,0.995,0.67848,1.20302,0.68101,1.07096,0.0008416,0.0008416,0.0008416
50,359.347,1.10492,1.01041,1.05736,0.92061,1,0.995,0.65988,1.26229,0.70422,1.09237,0.0008383,0.0008383,0.0008383
51,363.924,1.20529,1.02373,1.12228,0.95427,0.99059,0.995,0.62638,1.37043,0.65938,1.14286,0.000835,0.000835,0.000835
52,368.433,1.18883,1.10375,1.08749,0.93856,0.95809,0.99375,0.57002,1.55949,0.70297,1.23695,0.0008317,0.0008317,0.0008317
53,372.732,1.14947,1.00471,1.05488,0.97626,0.98872,0.995,0.60687,1.46661,0.68621,1.18078,0.0008284,0.0008284,0.0008284
54,377.009,1.13458,1.08111,1.07845,0.96757,0.99413,0.995,0.61109,1.44049,0.68376,1.16563,0.0008251,0.0008251,0.0008251
55,381.462,1.23221,1.06688,1.07146,0.97098,0.99169,0.995,0.59245,1.46527,0.71782,1.17581,0.0008218,0.0008218,0.0008218
56,385.859,1.13148,0.96176,1.03841,0.96989,0.98234,0.995,0.58462,1.4614,0.74368,1.1816,0.0008185,0.0008185,0.0008185
57,390.142,1.16386,1.02471,1.08932,0.95108,0.9915,0.995,0.54439,1.61822,0.73897,1.26354,0.0008152,0.0008152,0.0008152
58,394.422,1.13352,1.04464,1.05792,0.96517,0.97616,0.995,0.59893,1.49396,0.71288,1.19104,0.0008119,0.0008119,0.0008119
59,398.553,1.16095,1.03212,1.04515,0.97786,0.9745,0.995,0.64349,1.35065,0.64013,1.12394,0.0008086,0.0008086,0.0008086
60,402.933,1.09629,1.04345,1.04169,0.98579,0.99555,0.995,0.65102,1.30252,0.63622,1.10306,0.0008053,0.0008053,0.0008053
61,407.51,1.09269,0.92674,1.04309,0.98517,0.99592,0.995,0.66774,1.28113,0.63086,1.09898,0.000802,0.000802,0.000802
62,411.935,1.08342,0.95425,1.06759,0.98493,0.99265,0.995,0.60522,1.43358,0.64283,1.17833,0.0007987,0.0007987,0.0007987
63,416.094,1.17883,0.91992,1.01668,0.98632,1,0.995,0.59298,1.4181,0.63548,1.17079,0.0007954,0.0007954,0.0007954
64,420.406,1.19387,0.93869,0.99968,0.97861,1,0.995,0.62781,1.30514,0.61712,1.10448,0.0007921,0.0007921,0.0007921
65,424.784,1.23225,1.00442,1.10103,0.98037,1,0.995,0.61772,1.34328,0.62692,1.12525,0.0007888,0.0007888,0.0007888
66,429.225,1.21784,1.03576,1.0856,0.97884,0.9895,0.995,0.48982,1.88714,0.73963,1.4627,0.0007855,0.0007855,0.0007855
67,433.908,1.29526,1.05986,1.13406,0.98212,0.99099,0.995,0.48422,1.94185,0.75642,1.49345,0.0007822,0.0007822,0.0007822
68,438.16,1.23365,0.97994,1.06379,0.98209,0.9861,0.995,0.55566,1.6834,0.71423,1.32107,0.0007789,0.0007789,0.0007789
69,442.623,1.18926,0.93178,1.0742,0.97805,0.9851,0.995,0.68183,1.22396,0.61971,1.0869,0.0007756,0.0007756,0.0007756
70,447.106,1.18086,0.91683,1.03895,0.97767,0.98298,0.995,0.68326,1.17189,0.60947,1.06737,0.0007723,0.0007723,0.0007723
71,451.555,1.14854,0.89194,1.03279,0.97427,0.9872,0.995,0.68286,1.19168,0.6273,1.07209,0.000769,0.000769,0.000769
72,455.843,1.13984,0.94354,1.05853,0.97133,0.97215,0.995,0.69526,1.16125,0.70896,1.05208,0.0007657,0.0007657,0.0007657
73,460.328,1.1179,0.98714,1.06342,0.96645,0.9888,0.995,0.69737,1.14552,0.68165,1.04303,0.0007624,0.0007624,0.0007624
74,465.092,1.1422,0.85608,1.02576,0.97695,0.99201,0.995,0.68444,1.16978,0.66561,1.05079,0.0007591,0.0007591,0.0007591
75,469.553,1.13061,0.86947,1.04249,0.97734,0.99507,0.995,0.6249,1.40888,0.74389,1.14498,0.0007558,0.0007558,0.0007558
76,473.802,1.08021,0.85752,1.01549,0.96913,0.99205,0.995,0.59709,1.53866,0.76379,1.22172,0.0007525,0.0007525,0.0007525
77,478.285,1.11754,0.88413,1.04029,0.95738,0.98487,0.995,0.62091,1.48915,0.72306,1.20548,0.0007492,0.0007492,0.0007492
78,482.669,1.13126,0.93825,1.06475,0.96633,0.98615,0.995,0.66748,1.29949,0.63388,1.11302,0.0007459,0.0007459,0.0007459
79,487.243,1.12573,0.84261,1.05203,0.96767,1,0.995,0.66339,1.39919,0.61733,1.16993,0.0007426,0.0007426,0.0007426
80,491.846,1.10832,0.97012,1.01013,0.97414,0.99452,0.995,0.64642,1.39522,0.60441,1.1693,0.0007393,0.0007393,0.0007393
